agent,seed,net_arpu_gain,gross_arpu_lift,total_cost,total_contacts,unique_customers_targeted,n_pilots,final_campaigns,risk_score_pct,act_seconds,validation_errors,evaluator_messages,estimated_net,greedy_estimated_net,states_pruned
greedy,42,3240024.288258005,3332072.288258005,92048.0,5359,4532,14,4,0.0,0.078043874935247,[],,,,
greedy,0,3232455.8978503803,3324503.8978503803,92048.0,4959,4159,12,4,0.0,0.061864875024184585,[],,,,
greedy,1,3309764.687063176,3409754.687063176,99990.0,5520,4829,13,4,0.0,0.06555487494915724,[],,,,
greedy,2,2777914.2580383606,2877794.2580383606,99880.0,5515,4905,13,3,0.0,0.0664762919768691,[],,,,
greedy,3,2265525.10107049,2330579.10107049,65054.0,3932,3326,13,3,0.0,0.07668904098682106,[],,,,
greedy,4,3239236.651811514,3331284.651811514,92048.0,5159,4349,13,4,0.0,0.07351116591598839,[],,,,
greedy,5,2674580.4822656484,2769950.4822656484,95370.0,5310,4701,13,3,0.0,0.0715214580995962,[],,,,
greedy,6,2563846.602811237,2647600.602811237,83754.0,4982,4214,14,4,0.0,0.07300679199397564,[],,,,
greedy,7,3237215.867028903,3329263.867028903,92048.0,5159,4350,13,4,0.0,0.07767045800574124,[],,,,
greedy,8,3291527.472194275,3390241.472194275,98714.0,5662,4906,14,4,0.0,0.07044545805547386,[],,,,
greedy,9,2788351.2190654697,2888231.2190654697,99880.0,5831,5031,12,4,0.0,0.06497529207263142,[],,,,
greedy,10,3235620.515793487,3327668.515793487,92048.0,4959,4159,12,4,0.0,0.06616358307655901,[],,,,
greedy,11,3348818.885275363,3448808.885275363,99990.0,5720,4825,14,5,0.0,0.07216616696678102,[],,,,
greedy,12,3156300.6759712957,3256290.6759712957,99990.0,5520,4974,13,3,0.0,0.07019920810125768,[],,,,
greedy,13,2665288.102270414,2760658.102270414,95370.0,5310,4703,13,3,0.0,0.0756136659765616,[],,,,
greedy,14,3421169.759864443,3521159.759864443,99990.0,11162,9294,15,7,0.0,0.0846352920634672,[],,,,
greedy,15,3253958.5496917944,3346006.5496917944,92048.0,5714,4714,12,5,0.0,0.06430516694672406,[],,,,
greedy,16,3160149.7808928126,3260139.7808928126,99990.0,5320,4785,12,3,0.0,0.06208241602871567,[],,,,
greedy,17,3253280.158178127,3345328.158178127,92048.0,5475,4475,12,5,0.0,0.06194862490519881,[],,,,
greedy,18,2737968.8049812196,2837958.8049812196,99990.0,5320,4664,12,4,0.0,0.06271166610531509,[],,,,
greedy,19,3316689.805205485,3416679.805205485,99990.0,5320,4639,12,4,0.0,0.06251862505450845,[],,,,
greedy,20,3238113.998317832,3330161.998317832,92048.0,5159,4350,13,4,0.0,0.06642845796886832,[],,,,
greedy,21,3244765.3979031653,3336813.3979031653,92048.0,5359,4532,14,4,0.0,0.06798566691577435,[],,,,
greedy,22,2794774.934686132,2894654.934686132,99880.0,5515,4906,13,3,0.0,0.06575599999632686,[],,,,
greedy,23,3282325.84461683,3381039.84461683,98714.0,5662,4899,14,4,0.0,0.06951037503313273,[],,,,
greedy,24,3233674.7768257237,3325722.7768257237,92048.0,4959,4159,12,4,0.0,0.06377308396622539,[],,,,
greedy,25,3276930.6378894537,3375644.6378894537,98714.0,5462,4718,13,4,0.0,0.06565762497484684,[],,,,
greedy,26,2736676.5243369676,2836666.5243369676,99990.0,5520,4873,13,4,0.0,0.06590383290313184,[],,,,
greedy,27,3315127.2029687203,3415117.2029687203,99990.0,5320,4635,12,4,0.0,0.06468283396679908,[],,,,
greedy,28,3237839.1229743105,3329887.1229743105,92048.0,5359,4535,14,4,0.0,0.06929258396849036,[],,,,
greedy,29,3237801.7142061805,3329849.7142061805,92048.0,4959,4159,12,4,0.0,0.06849950004834682,[],,,,
greedy,100,3343748.9415587303,3443738.9415587303,99990.0,6036,4944,13,6,0.0,0.07706954190507531,[],,,,
greedy,101,3336308.778581753,3436298.778581753,99990.0,5320,4446,12,5,0.0,0.07048854196909815,[],,,,
greedy,102,3301791.591712065,3393839.591712065,92048.0,10085,8685,14,5,0.0,0.07562583300750703,[],,,,
